question,document
Could you clarify how shifting a relevant result to a better position impacts the MRR calculation?,8a5ece0688
Are there specific things I should double-check in my Python evaluation script to ensure these metrics are accurate?,8a5ece0688
Does changing my chunking or embedding strategy typically affect these two metrics in the same way?,8a5ece0688
"I keep getting a WinError 126 when trying to import torch, how do I fix this?",15e931476c
Is there a specific C++ library I need to install to get rid of this fbgemm.dll error?,15e931476c
Do I really need to install the full Visual Studio to solve this missing module error?,15e931476c
Could this error be related to a missing dependency in my Python installation?,15e931476c
Where can I find more info on why torch is failing to load on my Windows machine?,15e931476c
Why does my script keep throwing an OperationalError regarding the postgres host?,4b65d5542d
Is there a specific way to fix the No such host is known error in Module 5?,4b65d5542d
What should I put in my .env file to get past the psycopg2 connection error?,4b65d5542d
"I'm stuck on prep.py, how do I correctly configure the host variable for my database?",4b65d5542d
Do I need to change the POSTGRES_HOST setting if I'm getting a connection failure?,4b65d5542d
Why is my dataframe cutting off the text in the explanation column?,641aedbbf5
Is there a way to make pandas show the full text instead of truncating it?,641aedbbf5
How can I stop the columns from showing those three dots in the evaluation results?,641aedbbf5
What command do I use to change the display width for pandas columns?,641aedbbf5
"I need to read the full judge output, how do I disable the character limit for columns?",641aedbbf5
What is the easiest way to normalize vector data stored inside a column of a Pandas DataFrame?,5039707c1a
Can you show me how to apply a normalization function across a series in my dataframe?,5039707c1a
"I need to scale my vectors using numpy, how should I implement that with an apply method?",5039707c1a
What is the syntax for dividing a vector by its norm within a dataframe column?,5039707c1a
Is there a quick lambda function I can use to normalize my vector columns in Pandas?,5039707c1a
What is the easiest way to find the 75th percentile for a specific column in my dataframe?,b4c8ac5a0c
Is there a built-in function to get the 0.75 quantile value from a Pandas Series?,b4c8ac5a0c
How can I calculate quantiles using Pandas in this module?,b4c8ac5a0c
"I need to extract the 75% quantile for my data analysis, which method should I use?",b4c8ac5a0c
What code snippet do I need to run to determine the quantile of a dataframe column?,b4c8ac5a0c
"Is there a command to wipe out every single container, image, and volume I've created so far?",66ccbb7da0
"I want to do a clean slate for my Docker setup, how do I delete everything at once?",66ccbb7da0
What is the quickest way to clear out my machine of all these lingering Docker builds and containers?,66ccbb7da0
Can I use a one-liner to force remove all my images and running containers?,66ccbb7da0
"I'm running out of space, how do I prune absolutely everything related to Docker from my terminal?",66ccbb7da0
How can I restrict users to a single feedback entry per submission in Streamlit?,2e729f1271
Is there a way to make the buttons inactive after clicking them so they can't be used again?,2e729f1271
Why does my session state keep resetting to True even after I interact with the feedback buttons?,2e729f1271
Can you help me fix the issue where my session attribute changes unexpectedly during a submission?,2e729f1271
Where can I find the best practices for managing button states in this module?,2e729f1271
Can I still use RAGWithMetrics if I want to switch from OpenAI to Gemini?,01517c80df
How should I update my code if my provider uses standard Chat Completions instead?,01517c80df
Does the current setup for RAGWithMetrics work with models that aren't from OpenAI?,01517c80df
"I'm trying to use Gemini with the monitoring code, but where do the tokens get stored?",01517c80df
How do I handle pricing calculations if I decide to move away from the default OpenAI model?,01517c80df
Why does my streamlit app fail to launch when I use docker-compose despite working locally?,e8df9f0d12
"I keep getting an OCI runtime error about the streamlit executable not being found, how do I fix this?",e8df9f0d12
Is there a specific command I need to run to rebuild my containers if I'm having path issues in Docker?,e8df9f0d12
What steps should I take if my docker-compose setup can't locate the streamlit command?,e8df9f0d12
How can I properly configure my docker-compose file to ensure the streamlit app starts up correctly?,e8df9f0d12
Can I team up with a buddy for the capstone project?,0fab61eca2
Is it okay if I work on this with some friends from the course?,0fab61eca2
Do I have to do the final project entirely on my own?,0fab61eca2
What are the rules if I want to collaborate with another student?,0fab61eca2
Can two people submit the same project if we split up the work?,0fab61eca2
Do I have to turn in two separate capstone projects for this course?,d5fc98925d
What exactly is the difference between the first and second submission attempts?,d5fc98925d
Can I still pass if I miss the deadline for the first round of submissions?,d5fc98925d
Are there any specific requirements if I decide to submit a second project?,d5fc98925d
Is there anything else I need to do besides submitting my own project to get certified?,d5fc98925d
Can I just submit my Kaggle competition entry as the final capstone project?,e892d44e42
Does participating in the LLM competition satisfy the capstone requirement for this course?,e892d44e42
"I'm working on the Kaggle challenge, does that count towards the mandatory capstone project?",e892d44e42
Is the capstone project supposed to be done solo even if I'm in a team for the competition?,e892d44e42
Are we allowed to use our group's Kaggle project as the individual capstone submission?,e892d44e42
How does the peer review process actually work for our final projects?,9a2e2d2008
Do I have to grade other students' projects to pass the course?,9a2e2d2008
How exactly will my final score be calculated by the instructors?,9a2e2d2008
What happens if I forget to review the three projects assigned to me?,9a2e2d2008
Where can I find the specific criteria we need to use when grading our peers?,9a2e2d2008
How do I find out which projects I need to grade after I submit mine?,eae0fb50aa
Is there a specific process for getting assigned the peer reviews?,eae0fb50aa
When exactly can I expect to receive the list of assignments for grading?,eae0fb50aa
Will we get a notification when the peer review assignments are ready?,eae0fb50aa
How are we matched with the three projects we have to grade?,eae0fb50aa
Is it normal that I don't see any other projects to grade right now?,a8a7fef016
When exactly will I be able to start looking at my peers' work for the peer review?,a8a7fef016
Do I get to pick which specific projects I want to assess for the capstone?,a8a7fef016
Why is my dashboard empty when I try to find submissions to review?,a8a7fef016
Can I start evaluating assignments before the official list gets published?,a8a7fef016
Are there any recommended places where I can find inspiration for my final capstone topic?,e76a70cde3
Where should I look if I'm struggling to pick a dataset for the project?,e76a70cde3
Is there a specific list of project suggestions provided by the course instructors?,e76a70cde3
Does the course provide any official guidance or tips for completing the capstone?,e76a70cde3
Where can I find the link that contains the project ideas and dataset resources?,e76a70cde3
Is it mandatory to use tools like Airflow or Mage for the capstone?,d4f7c08ea1
Will I lose marks if I don't use an orchestration tool for my data pipeline?,d4f7c08ea1
Can I just use a simple Python script for the ingestion part of the project?,d4f7c08ea1
"Is a Jupyter notebook sufficient for the ingestion requirement, or will that impact my score?",d4f7c08ea1
Should I force an orchestrator into my project just to satisfy the rubric requirements?,d4f7c08ea1
How can I measure performance for a recommender RAG system when I do not have a pre-existing dataset of questions and answers?,9b0e2d6a47
Is it better to use hit rate or NDCG when I am evaluating a ranking-based project?,9b0e2d6a47
Could you explain the process for generating synthetic ground truth data for my capstone?,9b0e2d6a47
How should I set up an LLM-as-a-judge system to grade the overall quality of my RAG responses?,9b0e2d6a47
What criteria should I use if I want to have an LLM rate the usefulness of my recommendations on a five-point scale?,9b0e2d6a47
"I have a ton of data for my capstone, should I waste time finding the perfect chunking method right away?",6f2a8b3d10
What's the best way to start chunking if I want to keep things simple at first?,6f2a8b3d10
Are there any specific libraries you suggest for converting messy PDFs into clean markdown files?,6f2a8b3d10
Does it make sense to use LLM summaries to help with retrieval performance?,6f2a8b3d10
"If I'm dealing with really dense legal documents, what kind of search strategy should I be using?",6f2a8b3d10
Should I include my personal API keys inside the GitHub repository for the final project?,e5d8a2c761
How exactly can a reviewer test my system if they don't have my specific login credentials?,e5d8a2c761
What is the best way to show the reviewer which environment variables they need to set up locally?,e5d8a2c761
Are there any specific model recommendations to ensure the reviewer doesn't run up a huge bill testing my code?,e5d8a2c761
How should I handle my dependencies to make sure the reviewer won't run into version conflicts?,e5d8a2c761
Is it okay if I build my capstone project using JavaScript instead of Python?,ea815eb858
Will I get penalized if I decide to use Rust for the final assignment?,ea815eb858
"If I really want to use Java for my project, what extra steps do I need to take?",ea815eb858
Do you guys require me to use Python for every single homework assignment?,ea815eb858
What kind of documentation do I need to provide if my code isn't written in Python?,ea815eb858
Where should I look to see examples of past capstone work?,930286278d
Is there a place where I can check out older project submissions?,930286278d
How can I get an idea of what a good final project looks like?,930286278d
Can you link me to the repository archives from previous years?,930286278d
Where are the capstone projects from the last cohorts hosted?,930286278d
Is it mandatory to submit my project proposal for approval before I begin working on it?,897a350476
Do I have to claim a specific topic so no one else takes it?,897a350476
Where can I go if I need someone to review my idea and give me some advice?,897a350476
Are there any examples from past classes that I can check out to see what the expectations are?,897a350476
Is it a problem if I choose a topic that another student is already working on?,897a350476
Are we allowed to build a Telegram bot for our capstone instead of a regular website?,7318a90b14
Do I have to stick to web interfaces for the final project?,7318a90b14
Can I use a CLI or maybe Slack for my interface if I prefer that?,7318a90b14
Are there any specific rules about the platform we choose for our projects?,7318a90b14
Will you guys help us set up the messaging app interface if we choose that path?,7318a90b14
Are there any recommended libraries for pulling text out of PDFs for my capstone?,d8b28c47a0
What's the best way to handle scanned documents that don't have a searchable text layer?,d8b28c47a0
Do I have to use a specific tool for document parsing in this project or can I pick my own?,d8b28c47a0
Is there a preferred way to get clean Markdown output from my source files?,d8b28c47a0
Should I go with a local OCR tool or is it better to just hit an API for text extraction?,d8b28c47a0
Am I allowed to use the workshop code for my final capstone project?,d850a0e7ea
Can I apply what I learned in this dlt lesson to my MLOps Zoomcamp work?,d850a0e7ea
Is it cool if I share these data ingestion materials with some of my friends?,d850a0e7ea
Does the open-source license mean I can build my own side apps with these tools?,d850a0e7ea
Are we free to experiment with these dlt scripts in our own personal data pipelines?,d850a0e7ea
What command should I run to kick off a dlt project for cloud ingestion?,6bceeebf04
Is there a specific command line instruction to initialize dlt for filesystem loading?,6bceeebf04
How do I get started if I need to load data from a cloud source using dlt?,6bceeebf04
Could you point me to the command for setting up dlt with duckdb?,6bceeebf04
Where can I find the official steps to configure a dlt project for cloud files?,6bceeebf04
Why am I getting a FileNotFoundError when trying to open the notion table?,0407213397
"I keep seeing an error about the table not existing even though I am calling the right command, any ideas?",0407213397
Is there a specific configuration I missed that is causing the db.open_table function to fail?,0407213397
Do I need to update something in the pipeline settings to fix the table missing error?,0407213397
How can I resolve the table error related to the employee_handbook naming issue?,0407213397
"I keep getting a FileNotFoundError when running my code, any ideas how to fix it?",e95bfafc0e
Why does the script say the notion_pages table doesn't exist even though I defined it?,e95bfafc0e
Do I need to run a specific command to initialize the table before calling the main function?,e95bfafc0e
Is there something wrong with how I am referencing the table in my dlt script?,e95bfafc0e
How can I resolve the error message asking me to call db.create_table for my homework?,e95bfafc0e
Is there a simple way to check the list of tables currently in my database?,e394e6f738
What command should I run to see which tables exist in the db?,e394e6f738
"I'm confused, how can I pull up all the table names in the system?",e394e6f738
Can you show me how to view every table that has been created in the database?,e394e6f738
What method do I use if I want to display all the available tables?,e394e6f738
Are there any built-in ways to move data into ClickHouse using this library?,cd19f122f3
Can I connect my pipeline to a StarRocks database right now?,cd19f122f3
Are you planning to release official support for ClickHouse or StarRocks anytime soon?,cd19f122f3
Is it possible to build my own connector if I need to use StarRocks?,cd19f122f3
Does the project accept pull requests for adding new data destinations like ClickHouse?,cd19f122f3
Why am I getting a 401 unauthorized error when trying to access the Notion API?,0dfba07ace
What should I do if my Notion credentials are not being accepted in the notebook?,0dfba07ace
Is there a way to tell if my API token has expired or if it is just set up wrong?,0dfba07ace
Could you help me fix this authentication issue when connecting to Notion?,0dfba07ace
"I keep getting an error accessing Notion, how do I double-check my configuration settings?",0dfba07ace
Why is my environment grabbing the older requests version instead of the one lancedb needs?,4b30b918bc
Is there a way to manually force the installation of requests v2.32?,4b30b918bc
"I keep getting a 401 error, does that mean my key is wrong or am I just missing permissions?",4b30b918bc
How can I resolve the dependency conflict for requests when setting up the workshop environment?,4b30b918bc
What command should I run to install the specific requests build required by the lancedb integration?,4b30b918bc
"I am getting a 401 error with my EU Logfire token, any ideas why?",46efd1088d
Do I need to manually specify a base URL for EU regions if I have the right token?,46efd1088d
Could my shell environment be messing up the token loading from my .env file?,46efd1088d
Is there a specific way to make sure load_dotenv actually overwrites my old environment variables?,46efd1088d
What is the best way to force the SDK to use the EU endpoint if nothing else seems to work?,46efd1088d
